filename,label,label_name
NIH3T3_4/MN4_488epcam_568vim_D003_nucleus_1897_2447_7_23.tif,2.0,NIH3T3_4
NIH3T3_4/MN4_488epcam_568vim_D001_nucleus_1958_279_36_44.tif,2.0,NIH3T3_4
NIH3T3_2/MN2_488epcam_568vim_D002_nucleus_2109_1934_20_31.tif,1.0,NIH3T3_2
NIH3T3_4/MN4_488epcam_568vim_D003_nucleus_1376_1972_0_13.tif,2.0,NIH3T3_4
NIH3T3_2/MN2_488epcam_568vim_D004_nucleus_823_1354_10_22.tif,1.0,NIH3T3_2
NIH3T3_4/MN4_488epcam_568vim_D002_nucleus_474_1809_15_27.tif,2.0,NIH3T3_4
NIH3T3_3/MN3_488epcam_568vim_D003_nucleus_2915_2817_9_20.tif,3.0,NIH3T3_3
NIH3T3_2/MN2_488epcam_568vim_D002_nucleus_2262_1869_25_37.tif,1.0,NIH3T3_2
NIH3T3_3/MN3_488epcam_568vim_D003_nucleus_186_510_33_42.tif,3.0,NIH3T3_3
NIH3T3_3/MN3_488epcam_568vim_D001_nucleus_728_1378_18_30.tif,3.0,NIH3T3_3
NIH3T3_4/MN4_488epcam_568vim_D003_nucleus_2061_2465_1_13.tif,2.0,NIH3T3_4
NIH3T3_3/MN3_488epcam_568vim_D001_nucleus_2084_2525_10_19.tif,3.0,NIH3T3_3
NIH3T3_1/MN1_488epcam_568vim_D002_nucleus_2742_35_0_13.tif,0.0,NIH3T3_1
NIH3T3_4/MN4_488epcam_568vim_D003_nucleus_1899_1638_12_27.tif,2.0,NIH3T3_4
NIH3T3_2/MN2_488epcam_568vim_D004_nucleus_2305_1138_17_28.tif,1.0,NIH3T3_2
NIH3T3_2/MN2_488epcam_568vim_D005_nucleus_467_1508_25_36.tif,1.0,NIH3T3_2
NIH3T3_1/MN1_488epcam_568vim_D004_nucleus_1447_1816_28_39.tif,0.0,NIH3T3_1
NIH3T3_4/MN4_488epcam_568vim_D003_nucleus_205_1679_28_40.tif,2.0,NIH3T3_4
NIH3T3_4/MN4_488epcam_568vim_D001_nucleus_2022_2798_7_21.tif,2.0,NIH3T3_4
NIH3T3_4/MN4_488epcam_568vim_D001_nucleus_2270_1_41_51.tif,2.0,NIH3T3_4
NIH3T3_2/MN2_488epcam_568vim_D002_nucleus_2654_2182_2_13.tif,1.0,NIH3T3_2
NIH3T3_3/MN3_488epcam_568vim_D003_nucleus_1358_598_29_41.tif,3.0,NIH3T3_3
NIH3T3_3/MN3_488epcam_568vim_D001_nucleus_1990_670_33_41.tif,3.0,NIH3T3_3
NIH3T3_1/MN1_488epcam_568vim_D003_nucleus_159_247_6_15.tif,0.0,NIH3T3_1
NIH3T3_4/MN4_488epcam_568vim_D001_nucleus_1352_2429_4_17.tif,2.0,NIH3T3_4
NIH3T3_2/MN2_488epcam_568vim_D003_nucleus_1256_1883_13_23.tif,1.0,NIH3T3_2
NIH3T3_2/MN2_488epcam_568vim_D001_nucleus_2837_1768_17_29.tif,1.0,NIH3T3_2
NIH3T3_4/MN4_488epcam_568vim_D003_nucleus_623_1084_13_25.tif,2.0,NIH3T3_4
NIH3T3_3/MN3_488epcam_568vim_D001_nucleus_775_959_0_9.tif,3.0,NIH3T3_3
NIH3T3_1/MN1_488epcam_568vim_D005_nucleus_2605_1298_31_50.tif,0.0,NIH3T3_1
NIH3T3_4/MN4_488epcam_568vim_D001_nucleus_996_2047_5_16.tif,2.0,NIH3T3_4
NIH3T3_2/MN2_488epcam_568vim_D004_nucleus_1074_2825_27_38.tif,1.0,NIH3T3_2
NIH3T3_3/MN3_488epcam_568vim_D002_nucleus_540_1_21_32.tif,3.0,NIH3T3_3
NIH3T3_4/MN4_488epcam_568vim_D002_nucleus_742_2342_8_20.tif,2.0,NIH3T3_4
NIH3T3_3/MN3_488epcam_568vim_D002_nucleus_2558_367_44_51.tif,3.0,NIH3T3_3
NIH3T3_2/MN2_488epcam_568vim_D001_nucleus_2281_2481_24_34.tif,1.0,NIH3T3_2
NIH3T3_4/MN4_488epcam_568vim_D002_nucleus_1603_2117_0_10.tif,2.0,NIH3T3_4
NIH3T3_2/MN2_488epcam_568vim_D003_nucleus_915_235_22_33.tif,1.0,NIH3T3_2
NIH3T3_4/MN4_488epcam_568vim_D002_nucleus_13_2029_32_39.tif,2.0,NIH3T3_4
NIH3T3_1/MN1_488epcam_568vim_D002_nucleus_355_494_10_25.tif,0.0,NIH3T3_1
NIH3T3_3/MN3_488epcam_568vim_D003_nucleus_298_679_45_51.tif,3.0,NIH3T3_3
NIH3T3_1/MN1_488epcam_568vim_D005_nucleus_2100_1363_3_16.tif,0.0,NIH3T3_1
NIH3T3_2/MN2_488epcam_568vim_D004_nucleus_290_314_20_31.tif,1.0,NIH3T3_2
NIH3T3_3/MN3_488epcam_568vim_D002_nucleus_1559_585_30_42.tif,3.0,NIH3T3_3
NIH3T3_2/MN2_488epcam_568vim_D001_nucleus_383_1109_13_30.tif,1.0,NIH3T3_2
NIH3T3_4/MN4_488epcam_568vim_D002_nucleus_2095_1642_19_35.tif,2.0,NIH3T3_4
NIH3T3_1/MN1_488epcam_568vim_D005_nucleus_606_481_2_15.tif,0.0,NIH3T3_1
NIH3T3_3/MN3_488epcam_568vim_D001_nucleus_351_2938_9_17.tif,3.0,NIH3T3_3
NIH3T3_2/MN2_488epcam_568vim_D002_nucleus_724_2028_4_15.tif,1.0,NIH3T3_2
NIH3T3_2/MN2_488epcam_568vim_D005_nucleus_1233_861_34_47.tif,1.0,NIH3T3_2
NIH3T3_4/MN4_488epcam_568vim_D003_nucleus_2453_2289_17_29.tif,2.0,NIH3T3_4
NIH3T3_2/MN2_488epcam_568vim_D003_nucleus_80_2194_13_22.tif,1.0,NIH3T3_2
NIH3T3_1/MN1_488epcam_568vim_D004_nucleus_2574_1012_27_46.tif,0.0,NIH3T3_1
NIH3T3_4/MN4_488epcam_568vim_D002_nucleus_318_160_36_46.tif,2.0,NIH3T3_4
NIH3T3_4/MN4_488epcam_568vim_D002_nucleus_743_2082_1_12.tif,2.0,NIH3T3_4
NIH3T3_3/MN3_488epcam_568vim_D001_nucleus_1056_2310_2_12.tif,3.0,NIH3T3_3
NIH3T3_4/MN4_488epcam_568vim_D001_nucleus_1464_858_36_51.tif,2.0,NIH3T3_4
NIH3T3_4/MN4_488epcam_568vim_D001_nucleus_1294_1842_14_28.tif,2.0,NIH3T3_4
NIH3T3_3/MN3_488epcam_568vim_D003_nucleus_923_1649_23_32.tif,3.0,NIH3T3_3
